# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Omega,Phi,Kappa,Accuracy_X/Y/Z_(m),Accuracy_Omega/Phi/Kappa_(deg),Error_(m),X_error,Y_error,Z_error,Error_(deg),Omega_error,Phi_error,Kappa_error,X_est,Y_est,Z_est,Omega_est,Phi_est,Kappa_est,X_var,Y_var,Z_var,Omega_var,Phi_var,Kappa_var
IMG_1801.jpg,107.554572,-6.869919,784.185475,10.000000,4.044948,-0.380584,10.000000,10.000000,3.994950,-0.356746,3.865830,-0.942186,160.132514,131.295242,75.226879,-52.391775,107.554569,-6.869884,783.243288,141.295242,79.271827,-52.772359,,,,,,
IMG_1802.jpg,107.554572,-6.869908,784.893046,10.000000,3.615711,-0.973405,10.000000,10.000000,3.578397,-0.949637,2.983182,-1.733129,132.290958,108.731246,70.480575,-26.662751,107.554563,-6.869881,783.159916,118.731246,74.096286,-27.636156,,,,,,
IMG_1803.jpg,107.554572,-6.869892,784.761506,10.000000,2.407862,-1.260632,10.000000,10.000000,2.415216,-1.236902,1.314948,-1.604448,143.392047,118.730201,71.538373,-36.697135,107.554561,-6.869880,783.157058,128.730201,73.946235,-37.957767,,,,,,
IMG_1804.jpg,107.554511,-6.869886,784.276434,10.000000,2.349974,1.716681,10.000000,10.000000,2.358496,1.727571,-0.095714,-1.602760,133.880966,113.251400,64.196342,-31.258008,107.554527,-6.869887,782.673674,123.251400,66.546316,-29.541327,,,,,,
IMG_1805.jpg,107.554497,-6.869906,782.566038,10.000000,1.259818,1.246177,10.000000,10.000000,1.288494,1.268979,0.186004,0.123742,117.216930,103.439416,50.987975,-20.983858,107.554508,-6.869904,782.689780,113.439416,52.247793,-19.737681,,,,,,
IMG_1806.jpg,107.554489,-6.869900,782.614410,10.000000,2.232067,2.175706,10.000000,10.000000,2.218411,2.161660,-0.477162,0.144538,114.172907,102.643694,46.265474,-18.953378,107.554509,-6.869904,782.758948,112.643694,48.497541,-16.777672,,,,,,
IMG_1807.jpg,107.554475,-6.869897,782.361250,10.000000,2.834014,2.578094,10.000000,10.000000,2.842166,2.576153,-1.150885,0.341769,111.169811,99.045801,47.801487,-16.238046,107.554498,-6.869907,782.703018,109.045801,50.635501,-13.659952,,,,,,
IMG_1808.jpg,107.554450,-6.869911,781.796239,10.000000,4.719706,4.536638,10.000000,10.000000,4.720212,4.534529,-0.981024,0.869507,109.345696,99.811037,41.132229,-17.389018,107.554491,-6.869920,782.665744,109.811037,45.851935,-12.852380,,,,,,
IMG_1809.jpg,107.554450,-6.869928,781.364316,10.000000,3.500107,3.261388,10.000000,10.000000,3.497206,3.259056,-0.061033,1.266996,103.981695,97.755100,32.144761,-14.928082,107.554479,-6.869929,782.631311,107.755100,35.644868,-11.666694,,,,,,
IMG_1810.jpg,107.554450,-6.869922,781.556685,10.000000,3.571795,3.315486,10.000000,10.000000,3.574519,3.313158,-0.734825,1.122587,105.065044,98.955208,31.309702,-16.316641,107.554480,-6.869929,782.679271,108.955208,34.881497,-13.001155,,,,,,
IMG_1811.jpg,107.554428,-6.869944,781.313966,10.000000,3.826900,3.594503,10.000000,10.000000,3.800416,3.567230,0.020699,1.310573,99.432299,96.511531,21.539838,-10.408735,107.554460,-6.869944,782.624538,106.511531,25.366738,-6.814232,,,,,,
IMG_1812.jpg,107.554436,-6.869936,781.720586,10.000000,2.542222,2.119030,10.000000,10.000000,2.555378,2.128514,-1.096050,0.893342,93.134323,92.669395,8.831857,-2.895456,107.554455,-6.869946,782.613928,102.669395,11.374079,-0.776426,,,,,,
IMG_1813.jpg,107.554444,-6.869939,781.960690,10.000000,1.578161,1.206337,10.000000,10.000000,1.607961,1.252668,-0.764782,0.656865,92.839039,92.512162,7.779823,0.247760,107.554455,-6.869946,782.617555,102.512162,9.357984,1.454097,,,,,,
IMG_1814.jpg,107.554436,-6.869936,782.220966,10.000000,2.696986,2.533282,10.000000,10.000000,2.709884,2.542836,-0.849985,0.393674,91.116462,91.072355,2.809552,0.377157,107.554459,-6.869944,782.614640,101.072355,5.506538,2.910439,,,,,,
IMG_1815.jpg,107.554436,-6.869933,782.055151,10.000000,2.382663,1.831356,10.000000,10.000000,2.412271,1.840797,-1.459711,0.547504,90.258081,90.162586,3.965251,-1.227210,107.554453,-6.869946,782.602655,100.162586,6.347914,0.604146,,,,,,
IMG_1816.jpg,107.554444,-6.869931,781.938017,10.000000,2.164012,0.925583,10.000000,10.000000,2.144287,0.971863,-1.745305,0.779333,91.947694,91.597638,4.210280,-6.820902,107.554453,-6.869947,782.717350,101.597638,6.374292,-5.895319,,,,,,
IMG_1817.jpg,107.554436,-6.869936,782.328937,10.000000,2.316529,2.029834,10.000000,10.000000,2.330648,2.039301,-1.072254,0.351340,90.376906,90.282305,-4.020851,0.960918,107.554454,-6.869946,782.680276,100.282305,-1.704322,2.990752,,,,,,
IMG_1827.jpg,107.554506,-6.870069,799.378585,10.000000,21.745387,-8.151252,10.000000,10.000000,21.740408,-8.203654,11.056239,-16.825723,96.916555,90.916977,-31.406009,11.856838,107.554432,-6.869969,782.552847,100.916977,-9.660622,3.705586,,,,,,
IMG_1828.jpg,107.554450,-6.869939,785.150351,10.000000,2.853552,0.310987,10.000000,10.000000,2.849087,0.308132,-1.220813,-2.555772,91.572359,91.477727,1.873170,-3.716667,107.554453,-6.869950,782.594579,101.477727,4.726722,-3.405680,,,,,,
IMG_1829.jpg,107.554467,-6.869925,784.414395,10.000000,2.359867,1.132550,10.000000,10.000000,2.342060,1.093309,-0.993667,-1.817290,95.983397,94.134627,17.681824,-6.231987,107.554477,-6.869934,782.597104,104.134627,20.041691,-5.099437,,,,,,
IMG_1830.jpg,107.554567,-6.869822,781.290764,10.000000,2.630375,-0.466513,10.000000,10.000000,2.654034,-0.503995,-1.830026,1.854963,163.427132,134.246588,76.170334,-53.706249,107.554562,-6.869839,783.145726,144.246588,78.800709,-54.172762,,,,,,
IMG_1831.jpg,107.554567,-6.869822,781.298758,10.000000,2.622849,-0.459659,10.000000,10.000000,2.646469,-0.497141,-1.829246,1.846757,165.906890,136.671836,75.204397,-56.481891,107.554563,-6.869839,783.145515,146.671836,77.827246,-56.941550,,,,,,
IMG_1832.jpg,107.554550,-6.869803,784.773340,10.000000,2.012121,-0.951394,10.000000,10.000000,2.020014,-0.952203,0.623022,-1.669015,208.755483,-133.530237,55.837071,-150.435199,107.554541,-6.869797,783.104325,-123.530237,57.849192,-151.386593,,,,,,
IMG_1833.jpg,107.554558,-6.869808,785.145806,10.000000,3.061100,-1.923390,10.000000,10.000000,3.024284,-1.887359,1.180220,-2.047255,208.680952,-144.532973,65.995324,-135.287015,107.554541,-6.869797,783.098551,-134.532973,69.056424,-137.210405,,,,,,
IMG_1834.jpg,107.554542,-6.869772,785.340205,10.000000,2.617941,-1.556972,10.000000,10.000000,2.640795,-1.594759,-0.075144,-2.103543,209.046027,-124.037292,49.864091,-160.712676,107.554528,-6.869773,783.236662,-114.037292,52.482032,-162.269648,,,,,,
IMG_1835.jpg,107.554542,-6.869772,786.069100,10.000000,3.229074,-1.537014,10.000000,10.000000,3.247711,-1.574800,-0.133776,-2.837206,209.216917,-115.846564,46.304089,-167.950062,107.554528,-6.869773,783.231894,-105.846564,49.533163,-169.487076,,,,,,
IMG_1836.jpg,107.554536,-6.869758,786.513229,10.000000,3.588968,-1.236966,10.000000,10.000000,3.592826,-1.225640,-0.854821,-3.267337,209.018562,-122.943518,46.578355,-162.493408,107.554525,-6.869766,783.245892,-112.943518,50.167323,-163.730374,,,,,,
IMG_1837.jpg,107.554528,-6.869756,786.140610,10.000000,3.104539,-0.344045,10.000000,10.000000,3.090144,-0.369566,-0.999925,-2.900442,210.769444,-120.140927,48.076162,-166.368863,107.554525,-6.869765,783.240168,-110.140927,51.180701,-166.712908,,,,,,
IMG_1838.jpg,107.554481,-6.869744,784.471822,10.000000,1.209714,0.855246,10.000000,10.000000,1.153230,0.804636,0.501124,-0.656791,211.783494,-108.781665,37.429248,-177.814086,107.554488,-6.869739,783.815031,-98.781665,38.638962,-176.958840,,,,,,
IMG_1839.jpg,107.554475,-6.869747,784.717024,10.000000,1.899222,1.453557,10.000000,10.000000,1.887790,1.452071,0.855928,-0.850076,211.885649,-109.298536,43.214459,-176.300507,107.554488,-6.869739,783.866948,-99.298536,45.113681,-174.846950,,,,,,
IMG_1840.jpg,107.554458,-6.869758,783.873038,10.000000,0.361111,-0.102432,10.000000,10.000000,0.340119,-0.067629,0.109531,-0.314818,195.854850,-93.782594,28.536347,169.557141,107.554457,-6.869757,783.558220,-83.782594,28.897458,169.454709,,,,,,
IMG_1842.jpg,107.554450,-6.869769,784.001190,10.000000,1.987943,1.120280,10.000000,10.000000,1.948606,1.118276,1.582529,-0.205248,214.148687,-122.013023,27.068418,-173.895897,107.554460,-6.869755,783.795942,-112.013023,29.056361,-172.775617,,,,,,
IMG_1843.jpg,107.554458,-6.869772,784.728224,10.000000,2.338348,0.013043,10.000000,10.000000,2.318383,0.047865,2.126695,-0.921835,212.620036,-124.647363,42.335859,-166.967031,107.554458,-6.869753,783.806388,-114.647363,44.674207,-166.953988,,,,,,
IMG_1844.jpg,107.554436,-6.869733,783.929766,10.000000,0.369721,0.090063,10.000000,10.000000,0.339912,0.100052,0.321962,0.043245,205.527978,-104.442077,-1.715067,177.004691,107.554437,-6.869730,783.973011,-94.442077,-1.345346,177.094754,,,,,,
IMG_1845.jpg,107.554444,-6.869731,784.511545,10.000000,0.984965,-0.825938,10.000000,10.000000,0.951562,-0.779101,0.127971,-0.531127,209.513735,-110.024133,3.585467,178.263401,107.554437,-6.869730,783.980418,-100.024133,4.570432,177.437463,,,,,,
IMG_1846.jpg,107.554444,-6.869731,785.335987,10.000000,1.584350,-0.779274,10.000000,10.000000,1.565252,-0.732428,0.131456,-1.377056,206.247686,-102.492540,8.873376,178.758637,107.554437,-6.869730,783.958931,-92.492540,10.457726,177.979363,,,,,,
IMG_1847.jpg,107.554414,-6.869725,784.625125,10.000000,0.879878,0.569982,10.000000,10.000000,0.871628,0.555144,0.374946,-0.557643,205.976143,-106.506966,-3.172261,176.273578,107.554419,-6.869722,784.067482,-96.506966,-2.292383,176.843560,,,,,,
